ideAgenteCapacidadeInstalada,nomAgente,mdaPotenciaInstalada,mesReferencia,anoReferencia,dthProcessamento
111,Tractebel Energia,6515350.00,12,2006,13/09/2017 00:00:00
112,Tractebel Energia,6515350.00,12,2007,13/09/2017 00:00:00
113,Tractebel Energia,6515350.00,12,2008,13/09/2017 00:00:00
114,Tractebel Energia,6515350.00,12,2009,13/09/2017 00:00:00
115,Tractebel Energia,6965350.00,12,2010,13/09/2017 00:00:00
116,Tractebel Energia,7144650.00,12,2011,13/09/2017 00:00:00
117,Tractebel Energia,7141450.00,12,2012,13/09/2017 00:00:00
118,Tractebel Energia,7384650.00,12,2013,13/09/2017 00:00:00
119,Tractebel Energia,7323818.00,12,2014,13/09/2017 00:00:00
120,Tractebel Energia,7323818.00,12,2015,13/09/2017 00:00:00
121,Tractebel Energia,7323817.73,12,2016,13/09/2017 00:00:00
122,Companhia Hidro Elétrica do São Francisco,10609131.00,12,2017,28/06/2018 00:00:00
123,Furnas Centrais Elétricas S.A.,9411200.00,12,2017,01/12/2017 00:00:00
124,Centrais Elétricas do Norte do Brasil S.A.,9199554.10,12,2017,01/12/2017 00:00:00
125,ENGIE BRASIL ENERGIA S.A.,7251817.73,12,2017,01/12/2017 00:00:00
126,Itaipu Binacional,7000000.00,12,2017,28/06/2018 00:00:00
127,Petróleo Brasileiro S.A,6283874.60,12,2017,01/12/2017 00:00:00
128,RIO PARANA ENERGIA S.A,4995200.00,12,2017,01/12/2017 00:00:00
129,Copel Geração e Transmissão S.A.,4921216.00,12,2017,01/12/2017 00:00:00
130,Norte Energia S.A.,4549677.66,12,2017,01/12/2017 00:00:00
131,Energia Sustentável do Brasil S.A.,3750000.00,12,2017,01/12/2017 00:00:00
151,Centrais Elétricas do Norte do Brasil,9199554.10,12,2017,28/06/2018 00:00:00
152,Copel Geração e Transmissão,4921216.00,12,2017,28/06/2018 00:00:00
153,Energia Sustentável do Brasil,3750000.00,12,2017,28/06/2018 00:00:00
154,ENGIE BRASIL ENERGIA,7251817.73,12,2017,28/06/2018 00:00:00
155,Furnas Centrais Elétricas,9411200.00,12,2017,28/06/2018 00:00:00
156,Norte Energia,4549677.66,12,2017,28/06/2018 00:00:00
157,Petróleo Brasileiro,6283874.60,12,2017,28/06/2018 00:00:00
158,RIO PARANA ENERGIA,4995200.00,12,2017,28/06/2018 00:00:00
159,Total Nacional,147945737.00,12,2017,28/06/2018 00:00:00
160,COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO,10323428.00,12,2018,25/01/2019 00:00:00
161,FURNAS-CENTRAIS ELÉTRICAS S.A.,9443500.00,12,2018,25/01/2019 00:00:00
162,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE,8907150.00,12,2018,25/01/2019 00:00:00
163,NORTE ENERGIA S/A,7566433.33,12,2018,25/01/2019 00:00:00
164,Itaipu Binacional,7000000.00,12,2018,25/01/2019 00:00:00
165,PETRÓLEO BRASILEIRO S A PETROBRAS,6341548.15,12,2018,25/01/2019 00:00:00
166,ENGIE BRASIL ENERGIA S.A.,6188467.73,12,2018,25/01/2019 00:00:00
167,RIO PARANÁ ENERGIA S.A,4995200.00,12,2018,25/01/2019 00:00:00
168,COPEL GERACAO E TRANSMISSAO S.A.,4924329.55,12,2018,25/01/2019 00:00:00
169,Energia Sustentável do Brasil S.A.,3750000.00,12,2018,25/01/2019 00:00:00
172,COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO,10323428.00,3,2019,01/04/2019 00:00:00
173,FURNAS-CENTRAIS ELÉTRICAS S.A.,9443500.00,3,2019,01/04/2019 00:00:00
174,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE,8907150.00,3,2019,01/04/2019 00:00:00
175,NORTE ENERGIA S/A,7566433.33,3,2019,01/04/2019 00:00:00
176,Itaipu Binacional,7000000.00,3,2019,01/04/2019 00:00:00
177,PETRÓLEO BRASILEIRO S A PETROBRAS,6323528.15,3,2019,01/04/2019 00:00:00
178,ENGIE BRASIL ENERGIA S.A.,6188467.73,3,2019,01/04/2019 00:00:00
179,COPEL GERAÇÃO E TRANSMISSÃO S.A.,5257796.21,3,2019,01/04/2019 00:00:00
180,RIO PARANÁ ENERGIA S.A,4995200.00,3,2019,01/04/2019 00:00:00
181,Energia Sustentável do Brasil S.A.,3750000.00,3,2019,01/04/2019 00:00:00
182,COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO,10323428.00,6,2019,01/07/2019 00:00:00
183,FURNAS-CENTRAIS ELÉTRICAS S.A.,9443500.00,6,2019,01/07/2019 00:00:00
184,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE,8883150.00,6,2019,01/07/2019 00:00:00
185,NORTE ENERGIA S/A,8788655.55,6,2019,01/07/2019 00:00:00
186,Itaipu Binacional,7000000.00,6,2019,01/07/2019 00:00:00
187,PETRÓLEO BRASILEIRO S A PETROBRAS,6323528.15,6,2019,01/07/2019 00:00:00
188,ENGIE BRASIL ENERGIA S.A.,6188467.73,6,2019,01/07/2019 00:00:00
189,COPEL GERAÇÃO E TRANSMISSÃO S.A.,5374529.55,6,2019,01/07/2019 00:00:00
190,RIO PARANÁ ENERGIA S.A,4995200.00,6,2019,01/07/2019 00:00:00
191,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,3750000.00,6,2019,01/07/2019 00:00:00
192,COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO,10323428.00,9,2019,01/10/2019 00:00:00
193,FURNAS-CENTRAIS ELÉTRICAS S.A.,9443500.00,9,2019,01/10/2019 00:00:00
194,NORTE ENERGIA S/A,9400381.11,9,2019,01/10/2019 00:00:00
195,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE,8883150.00,9,2019,01/10/2019 00:00:00
196,Itaipu Binacional,7000000.00,9,2019,01/10/2019 00:00:00
197,PETRÓLEO BRASILEIRO S A PETROBRAS,6418728.15,9,2019,01/10/2019 00:00:00
198,ENGIE BRASIL ENERGIA S.A.,6188467.73,9,2019,01/10/2019 00:00:00
199,COPEL GERAÇÃO E TRANSMISSÃO S.A.,5474529.55,9,2019,01/10/2019 00:00:00
200,RIO PARANÁ ENERGIA S.A,4995200.00,9,2019,01/10/2019 00:00:00
201,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,3750000.00,9,2019,01/10/2019 00:00:00
202,NORTE ENERGIA S/A,11233100.00,12,2019,01/01/2020 00:00:00
203,COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO,10323428.00,12,2019,01/01/2020 00:00:00
204,FURNAS-CENTRAIS ELÉTRICAS S.A.,9443500.00,12,2019,01/01/2020 00:00:00
205,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE,8883150.00,12,2019,01/01/2020 00:00:00
206,Itaipu Binacional,7000000.00,12,2019,01/01/2020 00:00:00
207,PETRÓLEO BRASILEIRO S A PETROBRAS,6376728.15,12,2019,01/01/2020 00:00:00
208,ENGIE BRASIL ENERGIA S.A.,6189845.33,12,2019,01/01/2020 00:00:00
209,COPEL GERAÇÃO E TRANSMISSÃO S.A.,5574529.55,12,2019,01/01/2020 00:00:00
210,RIO PARANÁ ENERGIA S.A,4995200.00,12,2019,01/01/2020 00:00:00
211,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,3750000.00,12,2019,01/01/2020 00:00:00
212,NORTE ENERGIA S/A,11233100.00,3,2020,01/04/2020 00:00:00
213,COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO,10323428.00,3,2020,01/04/2020 00:00:00
214,FURNAS-CENTRAIS ELÉTRICAS S.A.,9443500.00,3,2020,01/04/2020 00:00:00
215,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE,8883150.00,3,2020,01/04/2020 00:00:00
216,Itaipu Binacional,7000000.00,3,2020,01/04/2020 00:00:00
217,PETRÓLEO BRASILEIRO S A PETROBRAS,6376728.15,3,2020,01/04/2020 00:00:00
218,ENGIE BRASIL ENERGIA S.A.,6189845.33,3,2020,01/04/2020 00:00:00
219,RIO PARANÁ ENERGIA S.A,4995200.00,3,2020,01/04/2020 00:00:00
220,COPEL GERAÇÃO E TRANSMISSÃO S.A.,3898529.55,3,2020,01/04/2020 00:00:00
221,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,3750000.00,3,2020,01/04/2020 00:00:00
222,NORTE ENERGIA S/A,11233100.00,6,2020,01/07/2020 00:00:00
223,COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO,10323428.00,6,2020,01/07/2020 00:00:00
224,FURNAS-CENTRAIS ELÉTRICAS S.A.,9443500.00,6,2020,01/07/2020 00:00:00
225,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE,8883150.00,6,2020,01/07/2020 00:00:00
226,Itaipu Binacional,7000000.00,6,2020,01/07/2020 00:00:00
227,PETRÓLEO BRASILEIRO S A PETROBRAS,6376728.15,6,2020,01/07/2020 00:00:00
228,ENGIE BRASIL ENERGIA S.A.,6189845.33,6,2020,01/07/2020 00:00:00
229,RIO PARANÁ ENERGIA S.A,4995200.00,6,2020,01/07/2020 00:00:00
230,COPEL GERAÇÃO E TRANSMISSÃO S.A.,3898529.55,6,2020,01/07/2020 00:00:00
231,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,3750000.00,6,2020,01/07/2020 00:00:00
232,NORTE ENERGIA S/A,11233100.00,9,2020,01/10/2020 00:00:00
